FacilityType,SupplyChainFlow,ShipToParty,ShipToName,ABCClass,ParentName,ShipToCountry,Material,MaterialDescription,Commodity,ProductGroup,ProductOrigin,QuantityInMT,TotalSalesValue,TotalCOGS,GM,TotalStorageCostPerYear,TotalHandlingCost,TotalDemurrageCost,IOC,TotalTransportCost,CBM,SGA,CBMAI,EBITAI,Segment
Daalimpex Harlingen - NL,EU to EU Direct,2008455,FONTERRA (EUROPE) COOPERATIE U,C,Fonterra,Netherlands,122324,AWAR UHT CRM CHF CLA SEA 12X1L,Cons. UHT,UHT Cream,Netherlands,0.119,0,261.9368752945556,-261.9368752945556,1.2770678848360995,0.9408800955145713,0,3.126377604915061,0,-264.1548232749062,11.232609342094685,-267.28120087982126,-278.51381022191595,Fonterra
Daalimpex Harlingen - NL,EU to EU Direct,4011539,FAYREFIELD FOODS A/S,A,Fayrefield,Denmark,121017,AWAR TR UHT CRM 38%F 12X1L,Cons. UHT,UHT Cream,Netherlands,17.501,13299.24,13299.54213860263,-0.30213860263029346,187.5054174937362,138.37262648403794,0,1854.6299073659661,0,-326.18018258040445,1651.948706689068,-2180.8100899463707,-3832.7587966354386,Semi Managed
Daalimpex Harlingen - NL,EU to EU Direct,4011539,FAYREFIELD FOODS A/S,A,Fayrefield,Denmark,121037,AWAR UHT CRM 12%F 12X1L CTN CARRAGEENAN,Cons. UHT,UHT Cream,Netherlands,11.684,2805.24,2795.6660678831427,9.573932116857122,109.73967804703264,92.38019357976681,0,1236.4199382439774,0,-192.54593950994234,1102.8723323784395,-1428.9658777539198,-2531.8382101323596,Semi Managed
Daalimpex Harlingen - NL,EU to EU Direct,4011539,FAYREFIELD FOODS A/S,A,Fayrefield,Denmark,121104,AWAR UHT CRM DESS 12X1L CTN,Cons. UHT,UHT Cream,Netherlands,41.839,18606.28,19054.79364319949,-448.5136431994906,389.35641114057427,330.80237240532904,0,716.6130142250074,0,-1168.6724267453938,3949.2532963352905,-1885.2854409704012,-5834.538737305692,Semi Managed
Daalimpex Harlingen - NL,EU to EU Direct,4011539,FAYREFIELD FOODS A/S,A,Fayrefield,Denmark,121250,AWAR UHT CRM EX YIELD MY 12X1L CTN,Cons. UHT,UHT Cream,Netherlands,0.622,247.35,247.86360971920203,-0.5136097192020372,6.635674474059869,4.917877474034146,0,10.976714873667893,0,-12.067161667296052,58.71162193935205,-23.043876540963943,-81.75549848031599,Semi Managed
Daalimpex Harlingen - NL,EU to EU Direct,4011539,FAYREFIELD FOODS A/S,A,Fayrefield,Denmark,121480,AWAR UHT CRM CHF CLA EU 12X1L CTN,Cons. UHT,UHT Cream,Netherlands,0.8,559.68,559.6691010816859,0.010898918314069306,10.73166289778235,6.325244339593758,0,115.5579203450843,0,-17.04600831906204,75.51334011492226,-132.60392866414634,-208.11726877906858,Semi Managed
Daalimpex Harlingen - NL,EU to EU Direct,4011539,FAYREFIELD FOODS A/S,A,Fayrefield,Denmark,121582,AWAR UHT CRM EX YIELD 12X1L CTN EU,Cons. UHT,UHT Cream,Netherlands,5.266,2095.2,2095.1496232748973,0.05037672510252378,70.23552032967893,41.63592086537591,0,281.5084205908935,0,-111.82106446995232,497.06656130647576,-393.3294850608458,-890.3960463673216,Semi Managed
Daalimpex Harlingen - NL,EU to EU Direct,4011539,FAYREFIELD FOODS A/S,A,Fayrefield,Denmark,121628,AWAR UHT CRM CUL CRM EU 12X1L CTN,Cons. UHT,UHT Cream,Netherlands,11.332,7928.8,7928.9861019192585,-0.1861019192583626,152.014004947087,89.59708607034558,0,1481.0753803367245,0,-241.79719293669092,1069.6464627278738,-1722.8725732734154,-2792.5190360012894,Semi Managed
Daalimpex Harlingen - NL,EU to EU Direct,4011539,FAYREFIELD FOODS A/S,A,Fayrefield,Denmark,121672,AWAR TR UHT CRM CHF CLA STG2 12X1L CTN,Cons. UHT,UHT Cream,Netherlands,2.351,1645.12,1645.157171220573,-0.03717122057310007,25.18857416877743,18.588311802981156,0,253.95347279285016,0,-43.81405719233169,221.91482826272778,-297.76752998518185,-519.6823582479096,Semi Managed
Daalimpex Harlingen - NL,EU to EU Direct,4011539,FAYREFIELD FOODS A/S,A,Fayrefield,Denmark,121691,AWAR TR UHT CRM CHF CLA SAM 12X1L CTN,Cons. UHT,UHT Cream,Netherlands,0.194,135.68,135.68331284863385,-0.003312848633839849,2.0785127132040926,1.5338717523514862,0,105.23619166785176,0,-3.6156973141894184,18.311984977868647,-108.85188898204117,-127.16387395990982,Semi Managed
Daalimpex Harlingen - NL,EU to EU Direct,4012998,EURODELICES,C,Eurodelices,France,121568,AWAR UHT CRM EURODELICES 12X1L CTN,Cons. UHT,UHT Cream,Netherlands,164.579,529815.26,425789.3100540543,104025.9499459457,2207.7579350676515,1301.2529852075015,0,4048.834963967449,0,100516.93902567055,15534.887503467238,96468.10406170311,80933.21655823587,Smart Serve
Daalimpex Harlingen - NL,EU to EU Direct,4012998,EURODELICES,C,Eurodelices,France,121604,AWAR UHT CRM MA EURODELICES 12X1L CTN,Cons. UHT,UHT Cream,Netherlands,22.458,62853.76,62537.47137931035,316.288620689651,301.264606697995,177.56542172324575,0,124.61921479890671,0,-162.54140773158977,2119.848240376155,-287.1606225304965,-2407.0088629066513,Smart Serve
Daalimpex Harlingen - NL,EU to EU Direct,4013006,BIDFOOD SLOVAKIA S. R. O.,C,Bidfood,Slovakia,121582,AWAR UHT CRM EX YIELD 12X1L CTN EU,Cons. UHT,UHT Cream,Netherlands,30.718,58078.08,56460.47031228932,1617.609687710683,409.7027560742646,242.8735695295513,0,1642.114634202633,5902.638711857843,-4937.6053497509765,2899.523477062727,-6579.71998395361,-9479.243461016336,Semi Managed
Daalimpex Harlingen - NL,EU to EU Direct,4013006,BIDFOOD SLOVAKIA S. R. O.,C,Bidfood,Slovakia,121679,AWAR UHT CHF CLA EU 12X1L CTN,Cons. UHT,UHT Cream,Netherlands,74.174,202331.52,189407.80884158498,12923.711158415012,995.0129547251349,586.4608420562843,0,4230.470641579242,14516.661288142157,-3174.4239265085635,7001.408112105304,-7404.894568087805,-14406.302680193108,Semi Managed
Daalimpex Harlingen - NL,EU to EU Direct,4013070,HARVESTER STOCK SRL,C,Harvester Stock,Romania,121582,AWAR UHT CRM EX YIELD 12X1L CTN EU,Cons. UHT,UHT Cream,Netherlands,14.043,25349.760000000002,22790.12128761678,2559.638712383221,187.2991667280063,111.03175782614392,0,750.7069408199615,0,2261.307787829071,1325.5422940423166,1510.6008470091097,185.05855296679306,Smart Serve
Daalimpex Harlingen - NL,EU to EU Direct,4013070,HARVESTER STOCK SRL,C,Harvester Stock,Romania,121679,AWAR UHT CHF CLA EU 12X1L CTN,Cons. UHT,UHT Cream,Netherlands,319.386,809369.28,755921.0084812937,53448.271518706344,4284.428607838892,2525.243110806865,0,18215.993425343484,0,46638.59980006059,30147.3795574307,28422.606374717107,-1724.773182713594,Smart Serve
